Taxa,Species,Common name,Part,RL,RH,AL,AH
Birds,Turdus migratorius,robin,Dorsal,0.337,0.258,0.663,0.742
Birds,Turdus migratorius,robin,Ventral,0.479,0.409,0.521,0.591
Birds,Vireo olivaceus,red eyed vireo,Dorsal,0.336,0.258,0.664,0.742
Birds,Vireo olivaceus,red eyed vireo,Ventral,0.661,0.614,0.339,0.386
Birds,Mammals,,,,,,
Birds,Ammotragus lervia,audad or Barbary sheep,White middorsal,0.349,0.296,0.651,0.704
Birds,Ammotragus lervia,audad or Barbary sheep,White-tan,0.438,0.358,0.562,0.642
Birds,Ammotragus lervia,audad or Barbary sheep,Brown dorsal,0.476,0.392,0.524,0.608
Birds,Bison bison,American bison,Dorsal,0.298,0.223,0.702,0.777
Birds,Blarina brevicauda,short-tailed shrew,Dorsal,0.337,0.264,0.663,0.736
Birds,Blarina brevicauda,short-tailed shrew,Ventral,0.342,0.28,0.658,0.72
Birds,Blarina brevicauda,short-tailed shrew,Gray-black middorsal,0.237,0.193,0.763,0.807
Birds,Blarina brevicauda,short-tailed shrew,Brown middorsal,0.266,0.218,0.734,0.782
Birds,Canis familiaris,pointer (pup),White flank,0.557,0.541,0.443,0.459
Birds,Canis familiaris,pointer (pup),White dorsal,0.597,0.577,0.403,0.423
Birds,Canis latrans,coyote,Dorsal,0.393,0.311,0.607,0.689
Birds,Canis latrans ,coyote (female pup),Yellow-brown flank,0.313,0.26,0.687,0.74
Birds,Canis lupus,gray wolf,Dorsal,0.38,0.304,0.62,0.696
Birds,Canis lupus,wolf (pup),Flank,0.243,0.197,0.757,0.103
Birds,Conor canadensis,beaver,Dorsal,0.311,0.237,0.689,0.763
Birds,Cercocebus torquatus,sooty mangabey,Dorsal,0.169,0.131,0.831,0.869
Birds,Citellus beldingi,Belding ground squirrel,Dorsal,0.23,0.169,0.77,0.831
Birds,Citellus beldingi,Belding ground squirrel,Side,0.407,0.342,0.593,0.658
Birds,Didelphis marsupialis,opossum,Dorsal,0.56,0.458,0.44,0.512
Birds,Didelphis marsupialis,opossum,Ventral,0.545,0.463,0.455,0.537
Birds,Eptesicus fuscus,big brown bat,Dorsal,0.352,0.264,648,0.736
Birds,Erethizon dorsatum,porcupine,Dorsal,0.188,0.147,0.812,0.853
Birds,Felis catus,cat (white),Dorsal,0.585,0.555,0.415,0.445
Birds,Felis pardalis,ocelot,Light middorsal,0.267,0.223,0.733,0.777
Birds,Felis pardalis,ocelot,Dark middorsal,0.173,0.135,0.827,0.865
Birds,Giraffa camelopardalis,Masai giraffe,Dorsal,0.321,0.248,0.679,0.752
Birds,Giraffa camelopardalis,Masai giraffe,Dark brown cheek,0.21,0.163,0.79,0.837
Birds,Giraffa camelopardalis,Masai giraffe,Light gray cheek,0.408,0.367,0.592,0.633
Birds,Glaucomys volans,souther flying squirrel,Dorsal,0.387,0.294,0.613,0.706
Birds,Glaucomys volans,souther flying squirrel,Ventral,0.694,0.64,0.306,0.36
Birds,Hylobates syndactulus,siamang(gibbon),,0.07,0.054,0.93,0.946
Birds,Lynx rufus,bobcat,Dorsal,0.377,0.301,0.623,0.699
Birds,Marmota monas,groundhog,Dorsal,0.433,0.346,0.567,0.654
Birds,Marmota monas,groundhog,Dorsal,0.335,0.281,0.665,0.719
Birds,Mephitis mephitis,striped skunk,black dorsal,0.21,0.156,0.79,0.844
Birds,Mephitis mephitis,striped skunk,While dorsal,0.545,0.507,0.455,0.493
Birds,Microtus pinetorum,pine vole,Dorsal,0.343,0.251,0.657,0.749
Birds,Mus musculus,house mouse,Dorsal,0.305,0.228,0.695,0.772
Birds,Mustela frenata,weasel,Dorsal,0.331,0.258,0.66,0.742
Birds,Myotis grisescens,gray myotis bat,Dorsal,0.388,0.293,0.612,0.707
Birds,Neotoma floridana,eastern woodrat,Dorsal,0.323,0.246,0.677,0.754
Birds,Neotoma floridana,eastern woodrat,Ventral,0.594,0.541,0.406,0.459
Birds,Ochotona princeps,pika,Dorsal,0.247,0.198,0.753,0.802
Birds,Odocoileus virginianus,white-tailed deer,Neck,0.26,0.204,0.74,0.796
Birds,Odocoileus virginianus,white-tailed deer,Red-tan middorsal,0.349,0.274,0.651,0.726
Birds,Ondatra zibethica,muskrat,Dorsal,0.355,0.27,0.645,0.73
Birds,Ondatra zibethica,muskrat,Ventral,0.504,,0.496,
Birds,Panthera leo,lion (female),Tan thigh,0.35,0.272,0.65,0.728
Birds,Siamiri sciureus,squirrel monkey,,0.219,0.171,0.781,0.829
Birds,Sciurus niger,fox squirrel,Dorsal,0.267,0.213,0.733,0.787
Birds,Sciurus niger,fox squirrel,Ventral,0.45,0.379,0.55,0.621
Birds,Sigmodon hispidus,cotton rat,Dorsal,0.271,0.201,0.729,0.799
Birds,Spilogale putorius,spotted skunk,Dorsal,0.338,0.256,0.662,0.744
Birds,Spilogale putorius,spotted skunk,Ventral,0.328,0.248,0.672,0.752
Birds,Sus scrofa,pig,Black middorsal,0.2,0.183,0.8,0.817
Birds,Sus scrofa,pig,White middorsal,0.328,0.322,0.672,0.678
Birds,Sylvilagus floridanus,eastern cottontail rabbit,Dorsal,0.351,0.27,0.649,0.73
Birds,Sylvilagus floridanus,eastern cottontail rabbit,Ventral,0.54,0.485,0.46,0.515
Birds,Talpa europaea,common mole,Middorsal,0.317,0.264,0.683,0.736
Birds,Tamias striatus,eastern chipmunk,Dorsal,0.323,0.242,0.677,0.758
Birds,Tamias striatus,eastern chipmunk,Ventral,0.591,0.529,0.409,0.471
Birds,Tragelaphus strepsiceros,greater kudu,Dorsal,0.338,0.294,0.662,0.706
Birds,Uncia uncia,Siberian snow leopard,Dark brown,0.156,0.117,0.844,0.883
Birds,Uncia uncia,Siberian snow leopard,Lightest,0.244,0.212,0.756,0.788
Birds,Urocyon cinereoargenteus,fox,Dorsal,0.245,0.195,0.755,0.805
Birds,Urocyon cinereoargenteus,fox,Black brown,0.218,0.165,0.782,0.835
Birds,Urocyon cinereoargenteus,fox,Flank,0.231,0.182,0.769,0.818
Birds,Urocyon cinereoargenteus,gray fox,Dorsal,0.333,0.279,0.667,0.721
Birds,Ursus horribilis,grizzly bear,Dorsal,0.151,0.115,0.849,0.885
Birds,Vulpes fulva,red fox,Dorsal,0.408,0.314,0.592,0.686
Birds,Vulpes fulva,red fox,Dorsal,0.4,0.325,0.6,0.675
Reptiles,Alligator mississippiensis,alligator,Living dorsal,0.119,0.1,0.881,0.9
Reptiles,Alligator mississippiensis,alligator,Living ventral,0.413,0.426,0.587,0.574
Reptiles,Alligator mississippiensis,alligator,Dead dorsal,0.112,0.091,0.888,0.909
Reptiles,Cnemidophorus tigris,lizard,Shoulder,0.111,0.111,0.889,0.889
Reptiles,Cnemidophorus tigris,lizard,Dorsal,0.154,0.15,0.846,0.85
Reptiles,Scelloporous malachiticus,fence lizard (female),Dorsal,0.068,0.063,0.932,0.937
Reptiles,Scelloporous malachiticus,fence lizard (female),Dorsal,0.058,0.052,0.942,0.948
Reptiles,Scelloporous malachiticus,fence lizard (male),Dorsal,0.112,0.107,0.888,0.893
Reptiles,Scelloporous malachiticus,fence lizard (male),Tail,0.076,0.085,0.924,0.915
Amphibians,Desmognathus fuscus brimleyorum,central dusky salamander,Dorsal,0.265,0.293,0.735,0.707
Amphibians,Rana temporaria ,frog,White foam nest,0.312,0.297,0.483,0.518
Amphibians,Plethodon caddoensis,Caddo Mountain salamander,Dorsal,0.113,0.094,0.887,0.906
Amphibians,Plethodon glotinosus,slimy salamander,Dorsal,0.099,0.081,0.901,0.919
Amphibians,Plethodon ovachitae,Rich Mountain salamander,Dorsal,0.101,0.086,0.899,0.914
Amphibians,Plethodon ovachitae,Rich Mountain salamander,Dorsal,0.109,0.093,0.891,0.907
Amphibians,Plethodon ovachitae,Rich Mountain salamander,Dorsal,0.091,0.077,0.909,0.923
Humans,Homo sapiens,Caucasian,Back of hand,0.345,0.321,0.655,0.679
Humans,Homo sapiens,Caucasian,,0.311,0.289,0.689,0.711
Humans,Homo sapiens,Caucasian,,0.355,0.324,0.645,0.676
Humans,Homo sapiens,Caucasian,,0.305,0.272,0.695,0.728
Humans,Homo sapiens,Caucasian,,0.316,0.283,0.684,0.717
Humans,Homo sapiens ,Negro,Back of hand,0.247,0.207,0.753,0.793
Humans,Homo sapiens ,Negro,,0.248,0.209,0.752,0.791
