Taxa,Species,Common name,Part,RL,RH,AL,AH
Birds,Accipiter cooperii,Cooper's Hawk,Dorsal,0.286,0.216,0.714,0.784
Birds,Accipiter cooperii,Cooper's Hawk,Ventral,0.203,0.165,0.797,0.835
Birds,Ajaia ajaja,American roseate spoonbill,Dorsal,0.51,0.455,0.49,0.545
Birds,Ammospiza caudacuta,sharp-tailed sparrow,Dorsal,0.334,0.25,0.666,0.75
Birds,Ammospiza caudacuta,sharp-tailed sparrow,Ventral,0.63,0.639,0.312,0.361
Birds,Asio otus wilsonianus,long-eared owl,Dorsal,0.451,0.342,0.549,0.658
Birds,Asio otus wilsonianus,long-eared owl,Ventral,0.434,0.351,0.566,0.649
Birds,Bombycilla cedrorum,cedar waxwing,Dorsal,0.252,0.193,0.748,0.807
Birds,Bombycilla cedrorum,cedar waxwing,Ventral,0.289,0.236,0.711,0.764
Birds,Cairina moschata,Muscovy duck,Wing,0.164,0.121,0.836,0.879
Birds,Circus cyaneus hudsonius,marsh hawk,Dorsal,0.189,0.139,0.811,0.861
Birds,Circus cyaneus hudsonius,marsh hawk,Ventral,0.441,0.35,0.559,0.65
Birds,Circus cyaneus hudsonius,marsh hawk,Egg,0.861,0.802,0.139,0.198
Birds,Coccyzus americanus,yellow-billed cuckoo,Dorsal,0.313,0.233,0.7,0.767
Birds,Coccyzus americanus,yellow-billed cuckoo,Ventral,0.707,0.658,0.293,0.342
Birds,Colaptes auratus,flicker,Dorsal,0.313,0.239,0.687,0.761
Birds,Colaptes auratus,flicker,Ventral,0.516,0.461,0.484,0.539
Birds,Colinus virginianus,quail,Dorsal,0.366,0.28,0.634,0.72
Birds,Colinus virginianus,quail,Ventral,0.477,0.405,0.523,0.595
Birds,Colinus virginianus,quail,Egg,0.869,0.818,0.131,0.182
Birds,Corvus conix,hooded crow,Egg,0.626,0.514,0.374,0.486
Birds,Cyanocitta cistata,blue jay,Dorsal,0.268,0.214,0.732,0.786
Birds,Cyanocitta cistata,blue jay,Ventral,0.403,0.347,0.597,0.653
Birds,Cyanocitta cistata,blue jay,Egg,0.638,0.527,0.362,0.473
Birds,Cyanocitta stelleri,Stellar's jay,Dorsal,0.156,0.12,0.844,0.88
Birds,Cygnus columbianus,white swan (juvenile),Dorsal,0.686,0.633,0.314,0.367
Birds,Falco sparverius,sparrow hawk,Egg,0.769,0.665,0.231,0.335
Birds,Florida coerulea coerulea,little blue heron,Egg,0.733,0.647,0.267,0.353
Birds,Fregata ariel,lesser frigate bird,Egg,0.891,0.865,0.109,0.135
Birds,Fregata magnificens,Magnificent frigate bird,Egg,0.857,0.819,0.143,0.181
Birds,Geococcyx californianus,roadrunner,Wing,0.25,0.208,0.75,0.792
Birds,Geococcyx californianus,roadrunner,Egg,0.829,0.818,0.171,0.182
Birds,Geothylpis trichas,yellow throat,Dorsal,0.352,0.265,0.648,0.735
Birds,Geothylpis trichas,yellow throat,Ventral,0.68,0.609,0.32,0.391
Birds,Grus americana,whooping crane (chick),Dorsal,0.415,0.331,0.585,0.669
Birds,Guara rubra,scarlett ibis,Wing,0.532,0.427,0.468,0.573
Birds,Haliaetus Ieucocephalus,bald eagle,Egg,0.792,0.708,0.208,0.292
Birds,Hylatomus pileatus,pileated woodpecker,Red Head,0.41,0.321,0.59,0.679
Birds,Hylatomus pileatus,pileated woodpecker,Dorsal,0.243,0.177,0.757,0.823
Birds,Hylatomus pileatus,pileated woodpecker,Middorsal,0.225,0.165,0.775,0.835
Birds,Hylatomus pileatus,pileated woodpecker,Middorsal,0.211,0.154,0.789,0.846
Birds,Hylatomus pileatus,pileated woodpecker,Egg,0.825,0.812,0.175,0.188
Birds,Ixobrychus exilis exilis,least bittern,Egg,0.783,0.733,0.217,0.267
Birds,Leucophoyx thula thula,snowy egret,Egg,0.799,0.714,0.201,0.3
Birds,Meleagris gallopavo,wild turkey,Egg,0.719,0.651,0.281,0.349
Birds,Megaceryle alcyon,kingfisher,Middorsal,0.136,0.108,0.864,0.892
Birds,Megaceryle alcyon,kingfisher,Dorsal,0.264,0.208,0.736,0.792
Birds,Megaceryle alcyon,kingfisher,White neck,0.686,0.662,0.314,0.338
Birds,Mniotilta varia,black-and-white warbler,Dorsal,0.321,0.247,0.679,0.753
Birds,Mniotilta varia,black-and-white warbler,Ventral,0.684,0.652,0.316,0.348
Birds,Nycticora nycticora hoactli,black-crowned night heron,Dorsal,0.175,0.142,0.825,0.858
Birds,Nycticora nycticora hoactli,black-crowned night heron,Ventral,0.355,0.299,0.645,0.701
Birds,Nycticora nycticora hoactli,black-crowned night heron,Egg,0.795,0.709,0.205,0.291
Birds,Otus asio,screech owl,Middorsal,0.292,0.227,0.703,0.773
Birds,Otus asio,screech owl,Dorsal,0.419,0.33,0.581,0.67
Birds,Otus asio,screech owl,Ventral,0.59,0.519,0.41,0.481
Birds,Otus asio,screech owl,Egg,0.92,0.892,0.08,0.108
Birds,Phasianus colchicus torquatus,ring-necked pheasant,Dorsal,0.232,0.18,0.766,0.82
Birds,Phasianus colchicus torquatus,ring-necked pheasant,Ventral,0.289,0.221,0.711,0.779
Birds,Prophyrula martinica,purple gallinule,Egg,0.796,0.717,0.204,0.283
Birds,Pygoscelis adeliae,Adelie penguin,Right front,0.199,0.153,0.801,0.847
Birds,Pygoscelis adeliae,Adelie penguin,White breast,0.735,0.676,0.265,0.324
Birds,Quisalus versicolor,bronzed grackle,Egg,0.619,0.506,0.381,0.494
Birds,Rallus elegans elegans,king rail,Dorsal,0.2,0.147,0.8,0.853
Birds,Rallus elegans elegans,king rail,Ventral,0.318,0.256,0.682,0.744
Birds,Rallus elegans elegans,king rail,Egg,0.729,0.655,0.271,0.345
Birds,Richmondena cardinalis,cardinal,Dorsal,0.32,0.246,0.68,0.754
Birds,Richmondena cardinalis,cardinal,Ventral,0.496,0.408,0.04,0.592
Birds,Seiurus aurocapillus,ovenbird,Dorsal,0.33,0.247,0.67,0.753
Birds,Seiurus aurocapillus,ovenbird,Ventral,0.622,0.576,0.378,0.424
Birds,Setophaga ruticilla,redstart,Dorsal,0.335,0.253,0.665,0.747
Birds,Setophaga ruticilla,redstart,Ventral,0.635,0.561,0.365,0.439
Birds,Speotyto cunicularia,burrowing owl,Egg,0.899,0.898,0.101,0.102
Birds,Spheniscus demersus,black-foot penguin,Egg,0.846,0.812,0.154,0.188
Birds,Sterna albifrons,least tren,Egg,0.724,0.601,0.276,0.399
Birds,Sterna fuscata fuscata,Sooty tern,Egg,0.744,0.674,0.256,0.326
Birds,Strix varia,barred owl,Dorsal,0.412,0.315,0.588,0.685
Birds,Strix varia,barred owl,Ventral,0.499,0.105,0.501,0.595
Birds,Strix varia,barred owl,Egg,0.843,0.802,0.157,0.198
Birds,Sturnella magna,eastern meadowlard,Egg,0.874,0.824,0.126,0.176
Birds,Sturnis vulgaris,starling,Dorsal,0.163,0.127,0.837,0.873
Birds,Sturnis vulgaris,starling,Ventral,0.149,0.112,0.851,0.888
Birds,Sturnis vulgaris,starling,Egg,0.76,0.721,0.24,0.279
Birds,Struthio camelus,ostrich (chick),Middorsal,0.175,0.143,0.825,0.857
